Timestamp,Temp_1(C),Humi_1(%),Temp_2(C),Humi_2(%),Avg_Temp(C),Avg_Humi(%)
2025-11-09 00:18:38,27,77,27,80,27.0,78.5
2025-11-09 00:18:40,27,77,27,80,27.0,78.5
2025-11-09 00:18:42,27,77,27,80,27.0,78.5
2025-11-09 00:18:44,27,77,27,80,27.0,78.5
2025-11-09 00:18:46,27,77,27,80,27.0,78.5
2025-11-09 00:18:48,27,77,27,80,27.0,78.5
2025-11-09 00:18:50,27,77,27,80,27.0,78.5
2025-11-09 00:18:52,27,77,27,80,27.0,78.5
2025-11-09 00:18:54,27,77,27,80,27.0,78.5
2025-11-09 00:18:56,27,77,27,80,27.0,78.5
2025-11-09 00:18:59,27,77,27,80,27.0,78.5
2025-11-09 00:19:01,27,77,27,80,27.0,78.5
2025-11-09 00:19:03,27,77,27,80,27.0,78.5
2025-11-09 00:19:05,27,77,27,80,27.0,78.5
2025-11-09 00:19:07,27,77,27,80,27.0,78.5
2025-11-09 00:19:09,27,77,27,80,27.0,78.5
2025-11-09 00:19:11,27,77,27,80,27.0,78.5
2025-11-09 00:19:13,27,77,27,80,27.0,78.5
2025-11-09 00:19:15,27,77,27,80,27.0,78.5
2025-11-09 00:19:17,27,77,27,80,27.0,78.5
2025-11-09 00:19:19,27,77,27,80,27.0,78.5
2025-11-09 00:19:22,27,77,27,80,27.0,78.5
2025-11-09 00:19:24,27,77,27,80,27.0,78.5
2025-11-09 00:19:26,27,77,27,80,27.0,78.5
2025-11-09 00:19:28,27,77,27,80,27.0,78.5
2025-11-09 00:19:30,27,77,27,80,27.0,78.5
2025-11-09 00:19:32,27,77,27,80,27.0,78.5
2025-11-09 00:19:34,27,77,27,80,27.0,78.5
2025-11-09 00:19:36,27,77,27,80,27.0,78.5
2025-11-09 00:19:38,27,77,27,80,27.0,78.5
2025-11-09 00:19:40,27,77,27,80,27.0,78.5
2025-11-09 00:19:43,27,77,27,80,27.0,78.5
2025-11-09 00:19:45,27,77,27,80,27.0,78.5
2025-11-09 00:19:47,27,77,27,80,27.0,78.5
2025-11-09 00:19:49,27,77,27,80,27.0,78.5
2025-11-09 00:19:51,27,77,27,80,27.0,78.5
2025-11-09 00:19:53,27,77,27,80,27.0,78.5
2025-11-09 00:19:55,27,77,27,80,27.0,78.5
2025-11-09 00:19:57,27,77,27,80,27.0,78.5
2025-11-09 00:19:59,27,77,27,80,27.0,78.5
2025-11-09 00:20:01,27,77,27,80,27.0,78.5
2025-11-09 00:20:03,27,77,27,80,27.0,78.5
2025-11-09 00:20:06,27,77,27,80,27.0,78.5
2025-11-09 00:20:08,27,77,27,80,27.0,78.5
2025-11-09 00:20:10,27,77,27,80,27.0,78.5
2025-11-09 00:20:12,27,77,27,80,27.0,78.5
2025-11-09 00:20:14,27,77,27,80,27.0,78.5
2025-11-09 00:20:16,27,77,27,80,27.0,78.5
2025-11-09 00:20:18,27,77,27,80,27.0,78.5
2025-11-09 00:20:20,27,77,27,81,27.0,79.0
2025-11-09 00:20:22,27,77,27,81,27.0,79.0
2025-11-09 00:20:24,27,77,27,81,27.0,79.0
2025-11-09 00:20:26,27,77,27,81,27.0,79.0
2025-11-09 00:20:29,27,77,27,81,27.0,79.0
2025-11-09 00:20:31,27,77,27,81,27.0,79.0
2025-11-09 00:20:33,27,77,27,81,27.0,79.0
2025-11-09 00:20:35,27,77,27,81,27.0,79.0
2025-11-09 00:20:37,27,77,27,81,27.0,79.0
2025-11-09 00:20:39,27,77,27,81,27.0,79.0
2025-11-09 00:20:41,27,77,27,81,27.0,79.0
2025-11-09 00:20:43,27,77,27,81,27.0,79.0
2025-11-09 00:20:45,27,77,27,81,27.0,79.0
2025-11-09 00:20:47,27,77,27,81,27.0,79.0
2025-11-09 00:20:50,27,77,27,81,27.0,79.0
2025-11-09 00:20:52,27,77,27,81,27.0,79.0
2025-11-09 00:20:54,27,77,27,81,27.0,79.0
2025-11-09 00:20:56,27,77,27,81,27.0,79.0
2025-11-09 00:20:58,27,77,27,81,27.0,79.0
2025-11-09 00:21:00,27,77,27,81,27.0,79.0
2025-11-09 00:21:02,27,77,27,81,27.0,79.0
2025-11-09 00:21:04,27,77,27,81,27.0,79.0
2025-11-09 00:21:06,27,77,27,81,27.0,79.0
2025-11-09 00:21:08,27,77,27,81,27.0,79.0
2025-11-09 00:21:10,27,77,27,81,27.0,79.0
2025-11-09 00:21:13,27,77,27,81,27.0,79.0
2025-11-09 00:21:15,27,77,27,81,27.0,79.0
2025-11-09 00:21:17,27,77,27,81,27.0,79.0
2025-11-09 00:21:19,27,77,27,81,27.0,79.0
2025-11-09 00:21:21,27,77,27,81,27.0,79.0
2025-11-09 00:21:23,27,77,27,81,27.0,79.0
2025-11-09 00:21:25,27,77,27,81,27.0,79.0
