Timestamp,Temperature(C),Humidity(%)
2025-10-07 18:08:09,19,98
2025-10-07 18:08:11,19,97
2025-10-07 18:08:13,19,97
2025-10-07 18:08:15,19,97
2025-10-07 18:08:17,19,97
2025-10-07 18:08:19,19,97
2025-10-07 18:08:21,19,97
2025-10-07 18:08:23,19,97
2025-10-07 18:08:25,19,97
2025-10-07 18:08:27,19,97
2025-10-07 18:08:29,19,98
2025-10-07 18:08:31,19,98
2025-10-07 18:08:33,19,98
2025-10-07 18:08:35,19,98
2025-10-07 18:08:37,19,98
2025-10-07 18:08:39,19,98
2025-10-07 18:08:41,19,98
2025-10-07 18:08:43,19,98
2025-10-07 18:08:45,19,98
2025-10-07 18:08:47,20,98
2025-10-07 18:08:50,20,98
2025-10-07 18:08:52,20,98
2025-10-07 18:08:54,20,98
2025-10-07 18:08:56,20,98
2025-10-07 18:08:58,20,98
2025-10-07 18:09:00,20,98
2025-10-07 18:09:02,20,98
2025-10-07 18:09:04,20,98
2025-10-07 18:09:06,20,98
2025-10-07 18:09:08,20,98
2025-10-07 18:09:10,20,98
2025-10-07 18:09:12,20,98
2025-10-07 18:09:14,20,98
2025-10-07 18:09:16,20,98
2025-10-07 18:09:18,20,98
2025-10-07 18:09:20,20,98
2025-10-07 18:09:22,20,97
2025-10-07 18:09:24,21,97
2025-10-07 18:09:26,21,97
2025-10-07 18:09:28,21,97
2025-10-07 18:09:30,21,97
2025-10-07 18:09:33,21,97
2025-10-07 18:09:35,21,97
2025-10-07 18:09:37,21,98
2025-10-07 18:09:39,21,97
2025-10-07 18:09:41,21,98
2025-10-07 18:09:43,21,97
2025-10-07 18:09:45,21,97
2025-10-07 18:09:47,21,97
2025-10-07 18:09:49,21,97
2025-10-07 18:09:51,21,98
2025-10-07 18:09:53,20,98
2025-10-07 18:09:55,20,98
2025-10-07 18:09:57,20,98
2025-10-07 18:09:59,20,98
2025-10-07 18:10:01,20,98
2025-10-07 18:10:03,20,98
2025-10-07 18:10:05,19,98
2025-10-07 18:10:07,19,98
2025-10-07 18:10:09,19,98
2025-10-07 18:10:11,19,98
2025-10-07 18:10:13,19,97
2025-10-07 18:10:16,19,97
2025-10-07 18:10:18,19,97
2025-10-07 18:10:20,19,97
2025-10-07 18:10:22,19,97
2025-10-07 18:10:24,19,97
2025-10-07 18:10:26,19,97
2025-10-07 18:10:28,18,97
2025-10-07 18:10:30,18,97
2025-10-07 18:10:32,18,97
2025-10-07 18:10:34,18,97
2025-10-07 18:10:36,18,97
2025-10-07 18:10:38,18,97
2025-10-07 18:10:40,18,97
2025-10-07 18:10:42,18,97
2025-10-07 18:10:44,18,97
2025-10-07 18:10:46,18,97
2025-10-07 18:10:48,18,97
2025-10-07 18:10:50,18,97
2025-10-07 18:10:52,18,97
2025-10-07 18:10:54,18,97
2025-10-07 18:10:56,18,97
2025-10-07 18:10:59,18,97
2025-10-07 18:11:01,18,97
2025-10-07 18:11:03,18,97
2025-10-07 18:11:05,18,97
2025-10-07 18:11:07,18,96
2025-10-07 18:11:09,18,96
2025-10-07 18:11:11,18,96
2025-10-07 18:11:13,18,96
2025-10-07 18:11:15,18,96
2025-10-07 18:11:17,18,96
2025-10-07 18:11:19,18,96
2025-10-07 18:11:21,18,96
2025-10-07 18:11:23,18,96
2025-10-07 18:11:25,18,95
2025-10-07 18:11:27,18,95
2025-10-07 18:11:29,18,95
2025-10-07 18:11:31,18,95
2025-10-07 18:11:33,18,95
2025-10-07 18:11:35,18,95
2025-10-07 18:11:37,18,95
2025-10-07 18:11:39,18,95
2025-10-07 18:11:42,18,95
2025-10-07 18:11:44,18,95
2025-10-07 18:11:46,18,95
2025-10-07 18:11:48,18,95
2025-10-07 18:11:50,18,94
2025-10-07 18:11:52,18,94
2025-10-07 18:11:54,18,94
2025-10-07 18:11:56,18,94
2025-10-07 18:11:58,18,94
2025-10-07 18:12:00,18,94
2025-10-07 18:12:02,18,94
2025-10-07 18:12:04,18,94
2025-10-07 18:12:06,18,94
2025-10-07 18:12:08,18,94
2025-10-07 18:12:10,18,94
2025-10-07 18:12:12,18,93
2025-10-07 18:12:14,18,93
2025-10-07 18:12:16,18,93
2025-10-07 18:12:18,18,93
2025-10-07 18:12:20,18,93
2025-10-07 18:12:22,18,93
2025-10-07 18:12:25,18,93
2025-10-07 18:12:27,18,92
2025-10-07 18:12:29,18,92
2025-10-07 18:12:31,18,91
2025-10-07 18:12:33,18,91
2025-10-07 18:12:35,18,91
2025-10-07 18:12:37,18,91
2025-10-07 18:12:39,18,91
2025-10-07 18:12:41,18,90
2025-10-07 18:12:43,18,90
2025-10-07 18:12:45,18,90
2025-10-07 18:12:47,18,90
2025-10-07 18:12:49,18,90
2025-10-07 18:12:51,18,90
2025-10-07 18:12:53,18,89
2025-10-07 18:12:55,18,89
2025-10-07 18:12:57,18,89
2025-10-07 18:12:59,18,88
2025-10-07 18:13:01,18,88
2025-10-07 18:13:03,18,87
2025-10-07 18:13:05,18,87
2025-10-07 18:13:08,18,87
2025-10-07 18:13:10,18,86
2025-10-07 18:13:12,18,86
2025-10-07 18:13:14,18,86
2025-10-07 18:13:16,18,86
2025-10-07 18:13:18,18,86
2025-10-07 18:13:20,18,86
2025-10-07 18:13:22,19,85
2025-10-07 18:13:24,19,85
2025-10-07 18:13:26,19,85
2025-10-07 18:13:28,19,84
2025-10-07 18:13:30,19,84
2025-10-07 18:13:32,19,83
2025-10-07 18:13:34,19,83
2025-10-07 18:13:36,19,83
2025-10-07 18:13:38,19,82
2025-10-07 18:13:40,19,82
2025-10-07 18:13:42,19,82
2025-10-07 18:13:44,19,82
2025-10-07 18:13:46,19,82
2025-10-07 18:13:48,19,82
2025-10-07 18:13:51,19,82
2025-10-07 18:13:53,19,81
2025-10-07 18:13:55,19,81
2025-10-07 18:13:57,19,81
2025-10-07 18:13:59,19,81
2025-10-07 18:14:01,19,81
2025-10-07 18:14:03,19,80
2025-10-07 18:14:05,19,80
2025-10-07 18:14:07,19,80
2025-10-07 18:14:09,19,80
2025-10-07 18:14:11,19,79
2025-10-07 18:14:13,19,79
2025-10-07 18:14:15,19,79
2025-10-07 18:14:17,19,79
2025-10-07 18:14:19,19,78
2025-10-07 18:14:21,19,78
2025-10-07 18:14:23,19,78
2025-10-07 18:14:25,19,78
2025-10-07 18:14:27,19,78
2025-10-07 18:14:29,19,78
2025-10-07 18:14:31,19,78
2025-10-07 18:14:34,19,77
2025-10-07 18:14:36,19,77
2025-10-07 18:14:38,19,77
2025-10-07 18:14:40,19,77
2025-10-07 18:14:42,19,76
2025-10-07 18:14:44,19,76
2025-10-07 18:14:46,19,76
2025-10-07 18:14:48,19,75
2025-10-07 18:14:50,19,75
2025-10-07 18:14:52,19,75
2025-10-07 18:14:54,19,75
2025-10-07 18:14:56,19,74
2025-10-07 18:14:58,19,74
2025-10-07 18:15:00,19,74
2025-10-07 18:15:02,19,74
2025-10-07 18:15:04,19,74
2025-10-07 18:15:06,19,74
2025-10-07 18:15:08,19,74
2025-10-07 18:15:10,19,74
2025-10-07 18:15:12,19,74
2025-10-07 18:15:14,19,74
2025-10-07 18:15:17,19,73
2025-10-07 18:15:19,19,73
2025-10-07 18:15:21,19,73
2025-10-07 18:15:23,19,73
2025-10-07 18:15:25,19,73
2025-10-07 18:15:27,19,73
2025-10-07 18:15:29,19,72
2025-10-07 18:15:31,19,72
2025-10-07 18:15:33,19,72
2025-10-07 18:15:35,19,72
2025-10-07 18:15:37,19,72
2025-10-07 18:15:39,19,72
2025-10-07 18:15:41,19,72
2025-10-07 18:15:43,19,71
2025-10-07 18:15:45,19,71
2025-10-07 18:15:47,19,71
2025-10-07 18:15:49,19,71
2025-10-07 18:15:51,19,71
2025-10-07 18:15:53,19,70
2025-10-07 18:15:55,19,70
2025-10-07 18:15:57,19,70
2025-10-07 18:16:00,19,70
2025-10-07 18:16:02,19,70
2025-10-07 18:16:04,19,70
2025-10-07 18:16:06,19,70
2025-10-07 18:16:08,19,70
2025-10-07 18:16:10,19,70
